,t,distance,speed,kinetic energy,momentum
32,1.32,11.53092646455042,31.08410924962297,636.6600960000001,31.08410924962297
33,1.36,11.438185072067645,32.690500125804945,646.140672,32.690500125804945
34,1.4,12.048057641823593,26.925198647737925,481.72454400000004,26.925198647737925
35,1.44,11.476401032593378,28.28068972235676,504.0501759999999,28.28068972235676
36,1.48,11.927520836387554,35.8137017707784,736.5820479999999,35.8137017707784
37,1.52,10.515702020368087,27.646149538632436,526.894944,27.646149538632436
38,1.56,11.392157528783459,35.34069938912623,784.222176,35.34069938912623
39,1.6,11.132378289797009,34.21973269549438,726.16944,34.21973269549438
40,1.64,12.079872914761351,29.671216607085643,584.871232,29.671216607085643
41,1.68,11.026876565483887,26.995295421156744,508.108992,26.995295421156744
42,1.72,10.97313553730635,27.7343327193028,552.022368,27.7343327193028
43,1.76,10.633955735847591,31.26315055459999,589.408192,31.26315055459999
44,1.8,10.328775048918205,33.01764938331356,670.031456,33.01764938331356
45,1.84,9.404381049130123,28.91182308254102,539.1632320000001,28.91182308254102
46,1.88,10.903003986595845,33.34301153361838,700.48336,33.34301153361838
47,1.92,10.117675123680227,31.81654445448891,667.2337600000001,31.81654445448891
48,1.96,9.821932471101418,25.690015261248877,486.0855680000001,25.690015261248877
49,2.0,10.013146566012107,31.688891093063862,619.975168,31.688891093063862
50,2.04,10.555940874149861,24.96342117106246,484.80432,24.96342117106246
51,2.08,10.510180037498369,32.32141629141538,596.46128,32.32141629141538
52,2.12,10.209377982563081,31.21094421711106,585.7095039999999,31.21094421711106
53,2.16,10.368522905578297,26.613465786416977,484.69308800000005,26.613465786416977
54,2.2,10.349957066460792,31.677856063610935,619.65504,31.677856063610935
55,2.24,10.7359402646651,27.867358222880117,502.83427200000006,27.867358222880117
56,2.28,10.80245456752271,28.171698717777353,506.456544,28.171698717777353
57,2.32,10.949804542095917,30.65559969406356,594.211328,30.65559969406356
58,2.36,10.772911140842725,31.14568346200118,584.2776,31.14568346200118
59,2.4,11.108827290858123,25.89698723226429,469.79289599999987,25.89698723226429
60,2.44,10.771700172072405,28.96741782316055,519.058592,28.96741782316055
61,2.48,10.65821383134198,33.41314450132415,664.318624,33.41314450132415
62,2.52,11.391258721551548,29.42618176428155,521.980192,29.42618176428155
63,2.56,11.67743290519686,25.200768786332787,405.822016,25.200768786332787
64,2.6,11.560282824154136,30.709312795404145,625.3982080000001,30.709312795404145
65,2.64,12.104719061527364,27.496463680569633,497.64444799999995,27.496463680569633
66,2.68,11.645170316058024,29.446159835643208,561.061696,29.446159835643208
67,2.72,12.034990216688632,31.207006853958887,631.291968,31.207006853958887
68,2.76,11.457402342439392,30.18996757817121,637.335584,30.18996757817121
69,2.8,12.072806072261185,24.601025136504777,409.05043200000006,24.601025136504777
70,2.84,11.920451247756505,25.678348871752508,461.201504,25.678348871752508
71,2.88,11.765875430474217,26.84143221358245,468.59881600000006,26.84143221358245
72,2.92,12.191264871041144,33.00844698074716,683.111552,33.00844698074716
73,2.96,10.338515813141116,30.387625910506664,583.185088,30.387625910506664
74,3.0,10.541465409043584,30.720698621335814,624.736192,30.720698621335814
75,3.04,11.323894932299774,27.26685163849036,563.77056,27.26685163849036
76,3.08,11.39723187272173,24.672302523642838,427.77577600000006,24.672302523642838
77,3.12,11.010866445717712,31.899510902594486,687.4976000000001,31.899510902594486
78,3.16,11.321529723047366,25.52636149379756,435.45004800000004,25.52636149379756
79,3.2,10.72762773459223,30.045123289958248,584.833216,30.045123289958248
80,3.24,11.555836232337112,32.423578571297156,697.194752,32.423578571297156
81,3.28,11.732669060579667,24.87779891796356,474.0701120000001,24.87779891796356
82,3.32,10.994591051233213,28.516305507421126,550.696544,28.516305507421126
83,3.36,11.130761580075427,28.1097063529444,530.9697920000001,28.1097063529444
84,3.4,11.261388621936108,31.131045286878948,619.2979520000001,31.131045286878948
85,3.44,11.114236053274924,25.600652213613277,451.7945919999999,25.600652213613277
86,3.48,11.198349926479935,33.99952040775477,712.7409280000002,33.99952040775477
87,3.52,11.573962873669272,28.279358900334127,555.138176,28.279358900334127
88,3.56,10.93072956361961,24.42645707951116,404.632832,24.42645707951116
89,3.6,11.90373598278747,28.890028029662794,517.47536,28.890028029662794
90,3.64,11.131331815119765,26.229764638046404,403.32835199999994,26.229764638046404
91,3.68,10.22888486826175,27.574008354184308,506.46009599999996,27.574008354184308
92,3.72,10.45195092843978,24.14265688275755,472.15712,24.14265688275755
93,3.76,10.417603558164853,28.17222896262993,513.1335039999999,28.17222896262993
94,3.8,10.827675202606931,26.136322515426592,440.90175999999997,26.136322515426592
95,3.84,11.128240205336136,28.35604780951518,509.006208,28.35604780951518
96,3.88,11.308465026840475,33.239785103558056,658.840288,33.239785103558056
97,3.92,10.743189464650557,29.74412868802072,622.101472,29.74412868802072
98,3.96,11.196061093934992,26.19235113085223,448.28352,26.19235113085223
99,4.0,10.815861858247764,27.920930389647857,500.99343999999996,27.920930389647857
100,4.04,11.219249161597412,29.031985764369225,552.6026239999999,29.031985764369225
101,4.08,11.574528985925797,27.561471075754024,533.8856000000001,27.561471075754024
102,4.12,11.13559948947421,34.15874028738212,718.017536,34.15874028738212
103,4.16,11.286794530885246,24.67251938566843,392.3144960000001,24.67251938566843
104,4.2,11.5655199990932,27.40313169577447,501.55532800000003,27.40313169577447
105,4.24,10.695724982721003,27.851425306285044,495.19465599999995,27.851425306285044
106,4.28,10.964087793694905,32.680486771584555,622.576832,32.680486771584555
107,4.32,10.432009803927103,26.03620717354002,446.26105599999994,26.03620717354002
108,4.36,11.080556346297383,28.93326728392316,543.3974400000001,28.93326728392316
109,4.4,10.623428145775012,29.934681722499672,573.6621439999999,29.934681722499672
110,4.44,10.580270618647837,30.346050542122324,542.639936,30.346050542122324
111,4.48,10.70756428974103,31.25409269195844,618.718176,31.25409269195844
112,4.52,9.884619135233049,26.026491762534082,468.2850880000001,26.026491762534082
113,4.56,11.06734344988982,32.45724896343388,634.154464,32.45724896343388
114,4.6,10.624189033396027,34.377880232364184,736.7317119999998,34.377880232364184
115,4.64,10.36247146112393,33.22458820072199,651.4988159999999,33.22458820072199
116,4.68,10.613869610300064,26.19366331156066,437.1690879999999,26.19366331156066
